ticker;Nome
AMER3;AMERICANAS
ATMP3;ATMASA
BDLL3;BARDELLA
BDLL4;BARDELLA
ETER3;ETERNIT
FRTA3;POMIFRUTAS
HOOT4;HOTEIS OTHON S.A.
JFEN3;JOAO FORTES
LIGT3;LIGHT S/A
NEXP3;NEXPE
OIBR3;OI
OIBR4;OI
PMAM3;PARANAPANEMA
RNEW3;RENOVA
RNEW4;RENOVA
RNEW11;RENOVA
RPMG3;REFINARIA DE PETROLEOS MANGUINHOS
RSID3;ROSSI RESIDENCIAL
SLED3;SARAIVA
SLED4;SARAIVA
TEKA3;TEKA
TEKA4;TEKA
